English,Explain
compose,组成构成
eventuality,不测事件
eloquent,雄辩的
feat,功绩 壮举
immerse,使陷入
compatible,可以并存的
grid,格子
optimize,使最优化
phonetic,语音的
iterate through,遍历
pursue,从事 追赶
comprehensive,广泛综合的
tedious,乏味单调的
plugin,相关插件
mature,成熟的
convoluted,盘绕的
render,报答 归还
reinvent the wheel,多此一举
capability,能力
segment,分割 段
coordinate,使协调 坐标
Event listener,事件监听器
encompass,围绕 包围
tweak,拧 扭 焦急
canvas,帆布
diamond,钻石 金刚钻的 菱形的
encrust,包上外壳 装饰外层
moldy,发霉的 乏味的
spirograph,呼吸运动记录器
alias,别名 化名
tuple,元组，数组
iterate,迭代
scalable,可攀登的
drone,嗡嗡的声音
simultaneous,同时发生 同时存在
paradigm,范例
procedural,程序上的
catastrophic,灾难性的
feature,容貌 特征
constraint,强制 限制
reign,统治 盛行
constant,始终如一的 连续发生的
opponent,对手 敌手
inevitably,不可避免地 必然地
auction,拍卖 竞卖
cipher,密码 暗号
sensation,感觉 感受 知觉
hierarchy,等级制度 统治集团 领导层
assumption,假定 臆断
flip,轻击 掷
recap,翻新的轮胎
shuffle,把……变换位置
manipulation,操作 操纵
comprise,包含 由…组成
tackle,解决 应付
pesticide,杀虫剂
deterministic,确定性的
splash,(光、色等的)斑点
randomness,随意 无安排
compatibility,适合 一致
reverse,反转 颠倒
integral,构成整体所必需的
bold,勇敢的 黑体的
exclamation,呼喊 惊叫
scope,视野 眼界 范围
approximate,近似的 大约的
decimal,小数的
arithmetic,算术
friction,摩擦 摩擦力
complimentary,表示敬意的 赞美的
primitive, 原始的 粗糙的
vigor,活力 精力
squiggly,弯弯曲曲的
indent,缩排 缩进
concatenate,把...联系起来
imitate,模仿
dedication,奉献 献身
