English,Explain
compose,组成构成
eventuality,不测事件
eloquent,雄辩的
feat,功绩 壮举
exception,例外
immerse,使陷入
bang,猛击 猛撞
compatible,可以并存的
grid,格子
precise,精确的
controversy,争论 论战
optimize,使最优化
phonetic,语音的
iterate through,遍历
pursue,从事 追赶
comprehensive,广泛综合的
squirrel,松鼠
tedious,乏味单调的
plugin,相关插件
mature,成熟的
premature,过早的
merge,合并 使合并
convoluted,盘绕的
render,报答 归还
reinvent the wheel,多此一举
capability,能力
segment,分割 段
prematurely,过早地 贸然地
coordinate,使协调 坐标
Event listener,事件监听器
encompass,围绕 包围
tweak,拧 扭 焦急
canvas,帆布
diamond,钻石 金刚钻的 菱形的
encrust,包上外壳 装饰外层
moldy,发霉的 乏味的
insane,精神病的 疯狂的
spirograph,呼吸运动记录器
alias,别名 化名
capable,能干能胜任的
tuple,元组，数组
iterate,迭代
premise,前提
revenue,收入
fuel,燃料
scalable,可攀登的
drone,嗡嗡的声音
simultaneous,同时发生 同时存在
notch,刻痕 凹口
paradigm,范例
procedural,程序上的
spaghetti,意大利面条
strike,罢工 打 敲
strain,张力 拉紧
catastrophic,灾难性的
feature,容貌 特征
constraint,强制 限制
tangle,乱糟糟的一堆
typo,排印错误
font,字体 字形
reign,统治 盛行
constant,始终如一的 连续发生的
opponent,对手 敌手
inevitably,不可避免地 必然地
capstone,顶石 顶点
fetch,接来 到达
retrieve,寻回 检索
auction,拍卖 竞卖
declare,宣布 声明
cipher,密码 暗号
mush,软而稠的混合物或块
equivalent,相等的 相当的
interpret,解释 说明
sensation,感觉 感受 知觉
grip,紧握 抓牢
navigate,航行 操纵
haphazardly,偶然地 杂乱地
hierarchy,等级制度 统治集团 领导层
assumption,假定 臆断
flip,轻击 掷
recap,翻新的轮胎
shuffle,把……变换位置
crucial,决定性的
overlap,重叠 重复
manipulation,操作 操纵
permanent,永久(性)的
comprise,包含 由…组成
tackle,解决 应付
pesticide,杀虫剂
pseudo,冒充的 假的
deterministic,确定性的
analog,类似物 模拟
splash,(光、色等的)斑点
randomness,随意 无安排
reputable,值得尊敬的
randomize,使随机化 完全打乱
compatibility,适合 一致
reverse,反转 颠倒
integral,构成整体所必需的
bold,勇敢的 黑体的
indentation,凹进 缩格
colon,冒号
comma,逗号 停顿
exclamation,呼喊 惊叫
scope,视野 眼界 范围
approximate,近似的 大约的
fraction,小部分 部分
decimal,小数的
arithmetic,算术
friction,摩擦 摩擦力
subtraction,减 减法
subscript,下标 脚注
cast, 投 掷 扔
complimentary,表示敬意的 赞美的
primitive, 原始的 粗糙的
vigor,活力 精力
squiggly,弯弯曲曲的
indent,缩排 缩进
concatenate,把...联系起来
pane,窗玻璃
imitate,模仿
dedication,奉献 献身
